,function,operator,best,mean,std
66,Rosenbrock,2DE_02,5.198624800847333e-15,1.1254872010535993e-10,3.1082536899184406e-10
67,Rosenbrock,2DE_03,1.4088660670646402,4.439700103151973,1.6861589967533885
68,Rosenbrock,2DE_12,2.844141026468368e-17,4.917345560511833e-09,1.4623674273887747e-08
69,Rosenbrock,2DE_13,1.477104578326184,5.210730027778438,2.0446037292391765
70,Rosenbrock,2DE_23,2.6025788504171965e-16,0.39866238543301324,1.1959871562893116
71,Rosenbrock,1DE_0,26.575683217580764,29.2364083648067,1.3948039855340475
72,Rosenbrock,1DE_1,126747.79912292837,295178.6341474057,123148.33329350338
73,Rosenbrock,1DE_2,2.1025580260602838e-23,2.5728577464146786e-10,6.778476090772301e-10
74,Rosenbrock,1DE_3,0.012052897721742306,0.3405806011840148,0.3697004912738879
75,Ackley,4DE_0123,3.552713678800501e-15,4.263256414560601e-15,1.4210854715202005e-15
76,Ackley,3DE_012,3.552713678800501e-15,4.618527782440651e-15,1.6280579355608322e-15
77,Ackley,3DE_013,1.4372005807672394e-09,4.787660579097519e-08,5.383873526489453e-08
78,Ackley,3DE_023,3.552713678800501e-15,3.552713678800501e-15,0.0
79,Ackley,3DE_123,3.552713678800501e-15,3.552713678800501e-15,0.0
80,Ackley,2DE_01,0.0051034334931756575,0.011518940621845886,0.0058224646845038445
81,Ackley,2DE_02,3.552713678800501e-15,3.552713678800501e-15,0.0
82,Ackley,2DE_03,2.19912976717751e-12,4.162394873219455e-11,6.82658797790045e-11
83,Ackley,2DE_12,3.552713678800501e-15,4.618527782440651e-15,1.6280579355608322e-15
84,Ackley,2DE_13,7.245404276545742e-11,3.536595016839783e-10,2.6953230188623697e-10
85,Ackley,2DE_23,3.552713678800501e-15,3.552713678800501e-15,0.0
86,Ackley,1DE_0,0.00010935165705916461,0.00022448002218489194,6.671177004778998e-05
87,Ackley,1DE_1,0.4616210277815753,0.7973648141161813,0.2319646589170634
88,Ackley,1DE_2,3.552713678800501e-15,3.552713678800501e-15,0.0
89,Ackley,1DE_3,3.552713678800501e-15,4.618527782440651e-15,1.6280579355608322e-15
90,Weierstrass,4DE_0123,-59.99994277954094,-59.99994277954089,3.664637506013727e-14
91,Weierstrass,3DE_012,-59.999942779540916,-59.99994277954088,2.4613922385709617e-14
92,Weierstrass,3DE_013,-59.99994277954098,-59.99994277954092,2.3458673608756694e-14
93,Weierstrass,3DE_023,-59.99994277954099,-59.999942779540916,4.362755542220143e-14
94,Weierstrass,3DE_123,-59.999942779540895,-59.99994277954086,3.161715577176521e-14
95,Weierstrass,2DE_01,-59.99994277954096,-59.999942779540916,3.3175574372787516e-14
96,Weierstrass,2DE_02,-59.99994277954099,-59.999942779540916,3.524177363839625e-14
97,Weierstrass,2DE_03,-59.99994277954101,-59.999942779540994,8.987733679556355e-15
98,Weierstrass,2DE_12,-59.99994277954091,-59.99994277954088,1.572853393922362e-14
99,Weierstrass,2DE_13,-59.99994277954091,-59.99994277954089,1.8932997526340824e-14
100,Weierstrass,2DE_23,-59.999942779540916,-59.99994277954086,3.209262840367789e-14
101,Weierstrass,1DE_0,-59.99994277954101,-59.999942779541,8.987733679556355e-15
102,Weierstrass,1DE_1,-59.999942779540895,-59.999942779540845,2.649095432944257e-14
103,Weierstrass,1DE_2,-59.999942779540916,-59.999942779540845,3.279291365519818e-14
104,Weierstrass,1DE_3,-59.999942779541,-59.99994277954089,6.386984823121859e-14
105,Griewank,4DE_0123,0.0,0.0,0.0
106,Griewank,3DE_012,0.0,0.002958416133645958,0.0036233049871250205
107,Griewank,3DE_013,0.0,7.036260463166854e-13,1.9846167609281547e-12
108,Griewank,3DE_023,0.0,0.0,0.0
109,Griewank,3DE_123,0.0,0.0,0.0
110,Griewank,2DE_01,0.0006447691533936206,0.16869698953793444,0.18735632343774097
111,Griewank,2DE_02,0.0,0.0,0.0
112,Griewank,2DE_03,0.0,0.0,0.0
113,Griewank,2DE_12,0.0,0.0009864672061006053,0.002959401618301816
114,Griewank,2DE_13,0.0,4.3298697960381104e-16,1.0860342134674458e-15
115,Griewank,2DE_23,0.0,0.000985728460782076,0.002957185382346228
116,Griewank,1DE_0,3.910609758239758e-07,0.0007732281760500115,0.002304358731118227
117,Griewank,1DE_1,0.7585277035674074,0.8535116025765317,0.04952394217791946
118,Griewank,1DE_2,0.0,0.002709830552310355,0.005665571867150326
119,Griewank,1DE_3,0.0,0.0,0.0
120,Rastrigin,4DE_0123,135.106818170012,157.66673979142882,9.739675753231086
121,Rastrigin,3DE_012,149.7581907989826,157.316512872327,7.034258280873524
122,Rastrigin,3DE_013,154.59156852688952,176.3597513976369,9.861377577686865
123,Rastrigin,3DE_023,132.60894182654155,150.72397994567604,10.073861899877794
124,Rastrigin,3DE_123,141.73711217496532,156.10953839421538,8.448453518621598
125,Rastrigin,2DE_01,193.23108057143037,208.6057520899369,10.41943539832287
126,Rastrigin,2DE_02,96.96489161660028,139.11772841661886,16.834289294005575
127,Rastrigin,2DE_03,130.6051440410096,162.3218111028075,12.693335237381957
128,Rastrigin,2DE_12,138.98545967060554,153.4097149320675,8.985415955476386
129,Rastrigin,2DE_13,156.11670360339707,170.40712411791674,9.203499147630186
130,Rastrigin,2DE_23,104.37732885828137,147.99562915107612,15.817128534818691
131,Rastrigin,1DE_0,176.2785674451197,197.76661550912027,12.238937754652246
132,Rastrigin,1DE_1,225.61708003491808,241.6131970241981,10.586423130051044
133,Rastrigin,1DE_2,9.949680750144637,27.182579897349836,29.06801084772475
134,Rastrigin,1DE_3,139.45823815619764,156.02556061857732,10.649030253902025
135,ModSchwefel,4DE_0123,0.0,0.0,0.0
136,ModSchwefel,3DE_012,0.0,0.0,0.0
137,ModSchwefel,3DE_013,0.0,1.2732925824820995e-12,1.6370904631912707e-12
138,ModSchwefel,3DE_023,0.0,0.0,0.0
139,ModSchwefel,3DE_123,0.0,0.0,0.0
140,ModSchwefel,2DE_01,0.0018196060827904148,0.00432150767010171,0.0030424404614944616
141,ModSchwefel,2DE_02,0.0,0.0,0.0
142,ModSchwefel,2DE_03,0.0,0.0,0.0
143,ModSchwefel,2DE_12,0.0,0.0,0.0
144,ModSchwefel,2DE_13,0.0,0.0,0.0
145,ModSchwefel,2DE_23,0.0,0.0,0.0
146,ModSchwefel,1DE_0,9.70569089986384e-07,1.945226358657237e-06,8.50811378154833e-07
147,ModSchwefel,1DE_1,0.7884191477642162,1.7659843202131014,0.6343772795640052
148,ModSchwefel,1DE_2,0.0,0.0,0.0
149,ModSchwefel,1DE_3,0.0,0.0,0.0
150,Katsuura,4DE_0123,0.0,0.0,0.0
